# test	verdict	rc
buffer_texture	FAIL	1
compute_direct	PASS	0
compute_indirect	PASS	0
framebuffer_clear_color_single_attachment	PASS	0
framebuffer_clear_color_multiple_attachments	PASS	0
framebuffer_clear_multiple_color_multiple_attachments	PASS	0
framebuffer_clear_depth	PASS	0
framebuffer_cube	PASS	0
framebuffer_multi_viewport	PASS	0
framebuffer_subpass_input	FAIL	1
framebuffer_subpass_input_clearops	FAIL	1
immediate_one_plane	PASS	0
immediate_two_planes	PASS	0
index_buffer_subbuilders	PASS	0
push_constants	PASS	0
push_constants_128bytes	PASS	0
push_constants_256bytes	PASS	0
push_constants_512bytes	PASS	0
push_constants_8192bytes	PASS	0
push_constants_multiple	PASS	0
push_constants_multiple_128bytes	PASS	0
push_constants_multiple_256bytes	PASS	0
push_constants_multiple_512bytes	PASS	0
push_constants_multiple_8192bytes	PASS	0
static_shaders	FAIL	1
shader_create_info_pipeline	PASS	0
preprocess_array	PASS	0
preprocess_comma_declaration	PASS	0
preprocess_include	PASS	0
preprocess_union	PASS	0
preprocess_unroll	PASS	0
preprocess_template	PASS	0
preprocess_template_struct	PASS	0
preprocess_reference	PASS	0
preprocess_cleanup	PASS	0
preprocess_default_arguments	PASS	0
preprocess_srt_template_wrapper	PASS	0
preprocess_srt_method	PASS	0
preprocess_static_branch	PASS	0
preprocess_namespace	PASS	0
preprocess_swizzle	PASS	0
preprocess_binary_literals	PASS	0
preprocess_enum	PASS	0
preprocess_matrix_constructors	PASS	0
preprocess_resource_guard	PASS	0
preprocess_empty_struct	PASS	0
preprocess_structured_bindings	PASS	0
preprocess_struct_methods	PASS	0
preprocess_srt_mutations	PASS	0
preprocess_entry_point_resources	PASS	0
preprocess_pipeline_description	PASS	0
preprocess_initializer_list	PASS	0
preprocess_parser	PASS	0
preprocess_expression_parser	PASS	0
shader_python_compute	PASS	0
shader_python_graphic	PASS	0
shader_compute_2d	PASS	0
shader_compute_1d	PASS	0
shader_compute_vbo	PASS	0
shader_compute_ibo	PASS	0
shader_compute_ssbo	PASS	0
shader_ssbo_binding	PASS	0
shader_sampler_argument_buffer_binding	FAIL	1
shader_texture_atomic	CRASH	139
math_lib	PASS	0
eevee_lib	PASS	0
shader_preprocessor	PASS	0
specialization_constants_compute	PASS	0
specialization_constants_graphic	CRASH	139
blend_none	PASS	0
blend_alpha	PASS	0
blend_alpha_premult	PASS	0
blend_additive	PASS	0
blend_additive_premult	PASS	0
blend_multiply	PASS	0
blend_subtract	PASS	0
