name	entry_us	exit_us	iface_us	shaderc_us	tint_us	nstages	spirv_words
gpu_shader_text	1786271253415265	1786271253975514	140	395140	164810	2	6106
gpu_shader_2D_widget_base	1786271253985494	1786271254494249	0	301580	207139	2	8396
gpu_shader_3D_uniform_color	1786271254496310	1786271254756310	6	254420	5539	2	1242
gpu_shader_3D_polyline_uniform_color	1786271254759209	1786271255047749	5	263255	25245	2	5170
gpu_shader_3D_image_color	1786271255050255	1786271255329155	10	272690	6161	2	1457
gpu_shader_2D_node_socket	1786271255332784	1786271255639415	0	292889	13711	2	3646
gpu_shader_2D_widget_base_inst	1786271255644934	1786271255950459	4	281374	24109	2	8564
gpu_shader_3D_line_dashed_uniform_color	1786271255954259	1786271256259565	4	299312	5956	2	1442
gpu_shader_2D_image_desaturate_color	1786271256262654	1786271256574334	10	304650	6977	2	1256
gpu_shader_3D_polyline_smooth_color	1786271256580960	1786271256913904	1041	317736	14135	2	5791
gpu_shader_2D_widget_shadow	1786271256916529	1786271257206615	0	281718	8331	2	2434
gpu_shader_2D_diag_stripes	1786271257208549	1786271257485795	5	273009	4190	2	1110
gpu_shader_2D_image_rect_color	1786271257487920	1786271257748784	0	254946	5870	2	1747
gpu_shader_2D_area_borders	1786271257750429	1786271258011934	0	256444	5015	2	1637
overlay_antialiasing_pipeline	1786271261130040	1786271261362269	4	219659	12526	2	6948
overlay_armature_dof	1786271261367269	1786271261588219	5	212180	8736	2	5547
overlay_armature_envelope_solid	1786271261592890	1786271261818380	6	216480	8973	2	5879
overlay_armature_envelope_outline	1786271261823144	1786271262042469	4	206205	13079	2	7931
overlay_armature_shape_solid	1786271262047180	1786271262248185	0	192060	8914	2	5732
overlay_armature_shape_outline	1786271262252760	1786271262464645	10	197404	14440	2	9712
overlay_armature_shape_wire_strip	1786271262469165	1786271262664375	4	182546	12636	2	9497
overlay_armature_shape_wire	1786271262668529	1786271262859180	6	177925	12701	2	9329
overlay_armature_sphere_solid	1786271262863109	1786271263059604	4	184630	11824	2	7810
