test	suite_verdict	wasm_vs_golden_max	over	opensubdiv_ab	ab_max	bucket
colorspace/acescg_blackbody	FAIL	0.7882353663444519	15.1%	MATCH	0.003921627998352051	OPENSUBDIV_OFF
colorspace/rec2020_lights	FAIL	0.8588235974311829	71.4%	MATCH	0.00784313678741455	OPENSUBDIV_OFF
transparency/transparency_blended	FAIL	0.7098039388656616	35.6%	MATCH	0.003921627998352051	OPENSUBDIV_OFF
transparency/transparency_dithered	FAIL	0.6470588445663452	62.9%	MATCH	0.019607841968536377	OPENSUBDIV_OFF
shadow/shadow_filter	FAIL	0.6274510025978088	52.8%	MATCH	0.0156862735748291	OPENSUBDIV_OFF
raycast/raycast_attribute	FAIL	1	49.1%	MATCH	0.003921568393707275	OPENSUBDIV_OFF
raycast/raycast_bump	FAIL	0.6509804129600525	53.2%	MATCH	0.125490203499794	OPENSUBDIV_OFF
raycast/raycast_direction_constant	PASS	0.007843151688575745	0%	-	-	PARITY
raycast/raycast_hit	FAIL	1	40.3%	MATCH	0.06666669249534607	OPENSUBDIV_OFF
raycast/raycast_normal	FAIL	1	61.9%	MATCH	0.06666667759418488	OPENSUBDIV_OFF
raycast/raycast_position	FAIL	1	42.7%	MATCH	0.054901957511901855	OPENSUBDIV_OFF
raycast/raycast_visibility	PASS	0.2196078598499298	0.0061%	-	-	PARITY
principled_bsdf/principled_bsdf_coat	FAIL	0.4431373178958893	22.9%	MATCH	0.00784313678741455	OPENSUBDIV_OFF
principled_bsdf/principled_bsdf_coat_zero_weight	FAIL	0.21176473796367645	17.7%	MATCH	0.011764705181121826	OPENSUBDIV_OFF
principled_bsdf/principled_bsdf_default	FAIL	0.21176473796367645	32.8%	DIFFER	0.0941176563501358	OPENSUBDIV_OFF+RESIDUAL
principled_bsdf/principled_bsdf_emission	FAIL	0.44705885648727417	30.7%	MATCH	0.003921568393707275	OPENSUBDIV_OFF
principled_bsdf/principled_bsdf_emission_alpha	FAIL	0.6784313917160034	28%	DIFFER	0.6784313917160034	OPENSUBDIV_OFF+RESIDUAL
principled_bsdf/principled_bsdf_metallic	FAIL	0.23921571671962738	20.1%	MATCH	0.003921568393707275	OPENSUBDIV_OFF
principled_bsdf/principled_bsdf_sheen	FAIL	0.26274511218070984	32.2%	MATCH	0.003921598196029663	OPENSUBDIV_OFF
principled_bsdf/principled_bsdf_specular	FAIL	0.23137256503105164	23.1%	MATCH	0.01568630337715149	OPENSUBDIV_OFF
principled_bsdf/principled_bsdf_subsurface	FAIL	0.6352941989898682	49.8%	MATCH	0.03137257695198059	OPENSUBDIV_OFF
principled_bsdf/principled_bsdf_thin_glass	FAIL	0.6941176652908325	33.1%	MATCH	0.0156862735748291	OPENSUBDIV_OFF
principled_bsdf/principled_bsdf_thin_subsurface	FAIL	1	31.3%	DIFFER	1	OPENSUBDIV_OFF+RESIDUAL
principled_bsdf/principled_bsdf_thinfilm_metallic	FAIL	0.32549020648002625	28.9%	MATCH	0.00784313678741455	OPENSUBDIV_OFF
principled_bsdf/principled_bsdf_thinfilm_reflection	FAIL	0.32549020648002625	24.7%	MATCH	0.00784313678741455	OPENSUBDIV_OFF
principled_bsdf/principled_bsdf_thinfilm_transmission	FAIL	0.4901961386203766	44.7%	MATCH	0.01568630337715149	OPENSUBDIV_OFF
principled_bsdf/principled_bsdf_transmission	FAIL	0.23137257993221283	23.7%	MATCH	0.003921568393707275	OPENSUBDIV_OFF
