t_sec,usedJSHeap,totalJSHeap,rafCount,rafDelta,console_total,gpu_err,fatals,note
2,93746017,96454965,252,252,324,0,0,
32,93515751,93997123,3863,3611,2694,0,0,
62,93639839,94357607,7482,3619,2769,0,0,
92,93758527,94357607,11102,3620,2841,0,0,
123,93542067,94881859,14719,3617,2913,0,0,
153,93674453,94881901,18342,3623,2991,0,0,
183,93547523,94619715,21978,3636,3096,0,0,
213,93665715,94619751,25594,3616,3171,0,0,
243,93769799,94619751,29213,3619,3216,0,0,
274,93419189,94357461,32825,3612,3282,0,0,
304,93327949,94357357,36446,3621,3360,0,0,
334,93446361,94357393,40066,3620,3435,0,0,
364,93307465,94357357,43684,3618,3513,0,0,
394,93436591,94357399,47301,3617,3588,0,0,
424,93354709,94357393,50923,3622,3669,0,0,
455,93488069,94357393,54543,3620,3741,0,0,
485,93354481,94357393,58165,3622,3789,0,0,
515,93463045,94357393,61780,3615,3855,0,0,
545,93396581,94357393,65398,3618,3930,0,0,
575,93336289,94357357,69013,3615,4008,0,0,
605,93454637,94357393,72631,3618,4083,0,0,
636,93388829,94357393,76255,3624,4167,0,0,
666,93326989,94357357,79873,3618,4248,0,0,
696,93464941,94357393,83487,3614,4323,0,0,
726,93390229,94357393,87103,3616,4368,0,0,
756,93498297,94357393,90709,3606,4434,0,0,
786,93433783,94357399,94327,3618,4515,0,0,
816,93365317,94357357,97948,3621,4593,0,0,
847,93486813,94357393,101564,3616,4671,0,0,
877,93422193,94357393,105190,3626,4755,0,0,
907,93423195,94357399,108810,3620,4833,0,0,
937,93365101,94357357,112424,3614,4917,0,0,
967,93474949,94357393,116042,3618,4974,0,0,
997,93451185,94357393,119656,3614,5049,0,0,
1028,93444881,94357393,123269,3613,5133,0,0,
1058,93384921,94357357,126885,3616,5214,0,0,
1088,93378733,94357357,130498,3613,5298,0,0,
1118,93375737,94357357,134117,3619,5388,0,0,
1148,93499353,94357393,137731,3614,5475,0,0,
1178,93433381,94357393,141348,3617,5559,0,0,
1208,93415229,94357393,144965,3617,5616,0,0,
1239,93398069,94357357,148573,3608,5688,0,0,
1269,93397105,94357357,152202,3629,5787,0,0,
1299,93392509,94357357,155819,3617,5877,0,0,
1329,93389341,94357357,159439,3620,5967,0,0,
1360,93386333,94357357,163059,3620,6054,0,0,
1390,93385129,94357357,166679,3620,6147,0,0,
1420,93383173,94357357,170299,3620,6237,0,0,
1450,93495841,94357393,173923,3624,6300,0,0,
1480,93473025,94357393,177533,3610,6372,0,0,
1511,93477605,94357393,181158,3625,6465,0,0,
1541,93468621,94619537,184777,3619,6549,0,0,
1571,93462617,94619537,188396,3619,6630,0,0,
1601,93461813,94619537,192019,3623,6714,0,0,
1631,93458073,94619537,195643,3624,6804,0,0,
1662,93460209,94619537,199271,3628,6906,0,0,
1692,93450737,94619537,202901,3630,6987,0,0,
1722,93485513,94619537,206515,3614,7062,0,0,
1752,93485757,94619537,210143,3628,7155,0,0,
1783,93485341,94619537,213765,3622,7254,0,0,
